"Date","Price","Open","High","Low","Vol.","Change %"
"12/05/2022","26.16","26.09","26.61","25.48","","5.57%"
"12/02/2022","24.78","26.44","26.65","24.25","","-5.02%"
"12/01/2022","26.09","26.82","27.33","25.49","","-1.40%"
"11/30/2022","26.46","28.68","28.95","26.17","","-6.70%"
"11/29/2022","28.36","28.37","29.08","27.76","","0.18%"
"11/28/2022","28.31","28.49","28.63","27.89","","5.67%"
"11/25/2022","26.79","27.18","27.54","26.76","","0.49%"
"11/23/2022","26.66","28.06","28.20","26.20","","-4.07%"
"11/22/2022","27.79","28.96","29.01","27.27","","-4.17%"
"11/21/2022","29.00","30.23","30.33","28.65","","-0.85%"
"11/20/2022","29.25","29.25","29.25","29.25","","0.00%"
"11/19/2022","29.25","29.25","29.25","29.25","","0.00%"
"11/18/2022","29.25","29.60","30.03","29.01","","-2.56%"
"11/17/2022","30.02","31.03","31.20","29.51","","-0.10%"
"11/16/2022","30.05","30.61","30.72","29.67","","-0.83%"
"11/15/2022","30.30","29.64","32.21","29.37","","0.93%"
"11/14/2022","30.02","30.69","30.73","29.36","","3.62%"
"11/11/2022","28.97","30.46","30.68","28.38","","-4.55%"
"11/10/2022","30.35","29.29","30.38","29.01","","-6.59%"
"11/09/2022","32.49","31.86","32.62","31.41","","3.04%"
"11/08/2022","31.53","30.92","32.73","30.65","","2.24%"
"11/07/2022","30.84","31.83","32.18","28.78","","-0.06%"
"11/05/2022","30.86","30.86","30.86","30.86","","0.00%"
"11/04/2022","30.86","31.13","31.73","30.33","","-2.93%"
"11/03/2022","31.79","33.12","33.19","31.68","","-0.97%"
"11/02/2022","32.10","32.53","32.82","9.94","","0.34%"
"11/01/2022","31.99","31.63","32.16","31.08","","2.66%"
"10/31/2022","31.16","33.23","33.69","31.16","","-2.20%"
"10/28/2022","31.86","33.22","33.26","16.81","","-5.80%"
"10/27/2022","33.82","33.56","33.99","18.21","","1.62%"
"10/26/2022","33.28","34.45","34.45","28.21","","-2.52%"
"10/25/2022","34.14","35.37","35.62","16.05","","-3.83%"
"10/24/2022","35.50","36.13","36.67","24.37","","0.71%"
"10/21/2022","35.25","35.97","36.44","33.83","","-1.45%"
